Track ID,Track Name,Artist Name,Frequency
4KUQFOGTaHrggl3hfMoaAe,"Kannamma - From ""Ispade Rajavum Idhaya Raniyum""",Sam C.S.,2
4G3Qh2Xsblt3d2vm6exYi5,Ovvundraai Thirudugiraai,D. Imman,2
4AajxCEwGEsmHmT4H1TwjY,undressed,sombr,2
49MHCPzvMLXhRjDantBMVH,Just the Way You Are,Billy Joel,2
45TUsDINS6CMvccCZ25YKk,"Po Indru Neeyaga (From ""Velai Illa Pattadhaari"")",Anirudh Ravichander,2
3upcDCzLEHdBaul7nznzIm,Karka Karka,Harris Jayaraj,2
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,2
3oEkrIfXfSh9zGnE7eBzSV,The Winner Takes It All,ABBA,2
3kvvKv05CVHBVlbdCtERyL,"Nijamellam Maranthupochu (From ""Ethir Neechal"")",Anirudh Ravichander,2
3cKMq4aFrfWV0DQzYbaxdi,Unnai Kaanadhu Naan,Shankar-Ehsaan-Loy,2
3RVKJOoIVKXicFvNO7b2iK,Aaruyire,A.R. Rahman,2
3Oh1zx6YSpHMk7R4grBIiI,Thangamey,Anirudh Ravichander,2
3IHHqmfKJHyI0obINUdg1W,21 Guns,Green Day,2
3FRLxtpSk9BxxnxdS6I4jq,Iragai Poley,Yuvan Shankar Raja,2
30ymNSV9O4RD3XV24dVOwj,Naan Maati Konden,Gopi Sundar,2
2uqXfUERVBLa1heEoUTBlO,Thuli Thuli,Yuvan Shankar Raja,2
2uMh5DHeh70RoQ572k5oPI,Anbe En Anbe,Harris Jayaraj,2
2tMoOS9grHtn4upzb4LwMG,"Adiye - From ""Bachelor""",Dhibu Ninan Thomas,2
2o9vYhKmDkSwlEwZpfouFR,Kaatrai Konjam,Ilaiyaraaja,2
2a1iMaoWQ5MnvLFBDv4qkf,High and Dry,Radiohead,2
24SMsVi24or0TxpFFuOBoh,Naan Pizhaippeno,Darbuka Siva,2
1hAhrZ84RKMAGuDU3WynZk,Unakkul Naane,Harris Jayaraj,2
1WN4uNclrDuczTO3bCr8s1,Be My Baby,The Ronettes,2
1UIsVy7GHFKyxIDDDTVSCH,Yennodu Vaa Vaa,Ilaiyaraaja,2
1MK6FCp06aF4wYkL0ggztn,"Velicha Poove (From ""Ethir Neechal"")",Anirudh Ravichander,2
19O4hCGGm95UhvIyhwnNT5,"Thooriga - From ""Navarasa""",Karthik,2
15J419FaKaBT7bYJmpLDpf,Some Might Say - Remastered,Oasis,2
14dJexYlvd3t3XAtD1pYW1,Oh Caroline,The 1975,2
102YVYHLNfgkfQP3qvDqsD,Koodamela Koodavechi,D. Imman,2
0zc2UcrURBMVTyV7J0wrAP,Hey Now - Remastered,Oasis,2
0xttqqTj7ZAGyVkfOYxQ4F,Nee Paartha Vizhigal - The Touch of Love,Anirudh Ravichander,2
0iSWAT0EL8TwmzcgBjKMh6,What a Feeling,One Direction,2
0XKkWw4sw1VmFlfX8mR1Fk,Rendu Kaadhal,Anirudh Ravichander,2
0TFTAtCYhp2tQ9KcJIZb55,undressed,sombr,2
0Ps7lWZdj1NAuyAVumclyC,Adhaaru Adhaaru,Harris Jayaraj,2
0OvT7NWqkjxgAQIdt7IpM0,Google Google,Vijay,2
0DM2Z5E6BJMSphoM0yyLi6,Chinnanjiru Nilave,A.R. Rahman,2
06KyNuuMOX1ROXRhj787tj,We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,2
02ePjHjIiszSYqeLykvpTN,She's Electric - Remastered,Oasis,2
7wWyH292esGxe9QF7cOJJq,Thodakkam Mangalyam,Gopi Sundar,1
7w4kFO2slzHCu1qEOMaPkl,Maari Thara Local - Here Comes Maari,Anirudh Ravichander,1
7tF0g57CG25Ew3GX7wa67l,Smoke And Mirrors,Gotye,1
7rC3P7tpWriaC4hYWKwGQd,Hey Lover!,Wabie,1
7pKfPomDEeI4TPT6EOYjn9,Imagine - Remastered 2010,John Lennon,1
7pK4jm4HiNaYVzL2zbQSoG,Wild Heart,Bleachers,1
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,1
7mLEUzAulFygMchoGMrP8E,Ennodu Nee Irundhaal,A.R. Rahman,1
7mIlbe9TP4eqC1oGIYC8Jh,Chennai City Gangsta,Anirudh Ravichander,1
7gaysiOWpGoNQocrSwa1yM,Marudaani,A.R. Rahman,1
7fyG2MquxykO3Ufiku1Dj2,Treehouse,Alex G,1
7fRIo7WyDxXn3r233GCcdL,Jimikki Ponnu,Thaman S,1
7dbzO881X6TVJST6EKhnDg,Maruvaarthai,Darbuka Siva,1
7cyKrN1y4q59bc1gJX3QEG,Start A Fire,John Legend,1
7clUVcSOtkNWa58Gw5RfD4,Speed of Sound,Coldplay,1
7c378mlmubSu7NGkLFa4sN,Airbag,Radiohead,1
7aSSsHnGQ54rbMZpXApmtU,Stand by Me,Oasis,1
7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie,1
7IO5iU84tFIZ4kfvhrg4oZ,Kadhal Ara Onnu Vizundhuchu,Sean Roldan,1
7FEWG1bL31YAcnxJQvxJJO,Nenjukkule,A.R. Rahman,1
7F81FsjjLnWrT2Rp7eYb03,Naane Varugiraen,A.R. Rahman,1
7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,1
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,1
7AEAGTc8cReDqcbPoY9gwo,We Are Never Ever Getting Back Together,Taylor Swift,1
78BHYuPCnUBh9wlbNWTCqC,She Is Love,Oasis,1
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,1
6s1lXoCa6EmIGnr0GrwcJp,The Boy with the Thorn in His Side - 2011 Remaster,The Smiths,1
6qZoQsBTQW2tix6KViDC7F,Don't Look Back in Anger,Oasis,1
6old0mA1IHi5lw2yLv3ri6,Dhimu Dhimu,Harris Jayaraj,1
6lFZbCc7pn6Lme1NP7qQqQ,You Can't Always Get What You Want,The Rolling Stones,1
6km4XESO3EkgZ1fBXqdKQN,"Oru Devathai (From ""Vaamanan"")",Yuvan Shankar Raja,1
6kfj0zSrTmvosGeiFR2cyB,"Kannalanae (From ""Bombay"")",K. S. Chithra,1
6i40XRqEwHAnSxwZWasMRp,For Elise,Saint Motel,1
6fnzVPHWtCxm4lxLyn5p4Q,Cast No Shadow - Remastered,Oasis,1
6dUfUi14QkuIpGA0GFFPyC,Supersonic - Remastered,Oasis,1
6d4w8aXKohojSGWl2TJ753,Poi Varavaa,Karthik,1
6b3b7lILUJqXcp6w9wNQSm,Cheap Thrills (feat. Sean Paul),Sia,1
6YvqWjhGD8mB5QXcbcUKtx,Love Story (Taylor’s Version),Taylor Swift,1
6Yu1OL8I0D4vjOzYdsXYGK,12:51,The Strokes,1
6XQHlsNu6so4PdglFkJQRJ,"City Of Stars - From ""La La Land"" Soundtrack",Ryan Gosling,1
6Uwi2Qk3H7fM4b4W4ExrAp,Scott Street,Phoebe Bridgers,1
6TQS7URegxmcb8tTNpoXzi,"Megham Karukatha (From ""Thiruchitrambalam"")",Dhanush,1
6S6DFMfhwIZYHUffVzuWOI,June Ponal,Krishh,1
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,1
6PwjJ58I4t7Mae9xfZ9l9v,Somebody Told Me,The Killers,1
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,Ed Sheeran,1
6ORqU0bHbVCRjXm9AjyHyZ,Good Riddance (Time of Your Life),Green Day,1
6NwEpX2JUWHVKWfDDfcqC4,Idhazhin Oram - The Innocence of Love,Anirudh Ravichander,1
6Mbgtn1ZjgS1upiV2ghB9y,The Old Therebefore / Singing at Snakes - from The Hunger Games: The Ballad of Songbirds & Snakes,Rachel Zegler,1
6M31fPFCYB8Job3MCjjrDV,They Don't Know About Us,One Direction,1
6LgJvl0Xdtc73RJ1mmpotq,Paranoid Android,Radiohead,1
6LEexioDsbXKAIemyIOrqd,"Ulaviravu - From ""Ondraga Originals""",Karthik,1
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,Tame Impala,1
6IKHGC98Wml38sGXiFCQka,Force Of Nature,Oasis,1
6GyFP1nfCDB8lbD2bG0Hq9,Midnight City,M83,1
6CltzquypraYIlWFp48m1O,Hypersonic Missiles,Sam Fender,1
6APAPsBCutqTFJ9OFTbeCa,Ondra Renda,Bombay Jayashri,1
6ADSaE87h8Y3lccZlBJdXH,With Or Without You,U2,1
69uD4u2l79u7GDyHSonJyv,Kutti Puli Kootam,Hariharan,1
69YTuACgrMGedLai9jPI9N,Wicked Game (feat. Tom Ellis),Lucifer Cast,1
63OQupATfueTdZMWTxW03A,Karma Police,Radiohead,1
62BxlOvQCjLNQA5ARA4Dug,Runaways,The Killers,1
60eVCXFCuw1WYswBuNZc4H,Jenny Was A Friend Of Mine,The Killers,1
5vollujufHY0jMZxx77VWr,All These Things That I've Done,The Killers,1
5uhAAyQlgzOgghJp5XSigQ,Para Para,N.R. Raghunanthan,1
5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,1
5ruzrDWcT0vuJIOMW7gMnW,The Adults Are Talking,The Strokes,1
5ophZLHA9mwSZhQSmboyDN,People of The Pride,Coldplay,1
5n0CTysih20NYdT2S0Wpe8,Trouble,Cage The Elephant,1
5ich0wSxDxMryEjwZo6XzG,Mazhai Vara Pogudhae,Harris Jayaraj,1
5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,The Fray,1
5eoah7D3oxCqz6n0clmC0I,Kadhal Yennulle,Rajesh Murugesan,1
5dGeE7ASmCqBP44aipM3K8,Hung In A Bad Place,Oasis,1
5cF0dROlMOK5uNZtivgu50,Attention,Charlie Puth,1
5bJ1K78btQIh5gR1MaFXt0,War,Hypnotic Brass Ensemble,1
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,1
5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,1
5UOFLYC30Ajp7woaZUHgw0,"Yaar Indha Saalai Oram (From ""Thalaivaa"")",G. V. Prakash,1
5QoCBy9eUHYkeWpEpzAud9,Konji Pesida Venaam,Nivas K Prasanna,1
5O2P9iiztwhomNh8xkR9lJ,Night Changes,One Direction,1
5NvOZCjZaGGGL597exlQWv,Line Without a Hook,Ricky Montgomery,1
5MhKHO4FYmpfDryQX9408O,Bend The Rules,Niall Horan,1
5M4yti0QxgqJieUYaEXcpw,Eventually,Tame Impala,1
5KZyOG8LZsBrHjuEdNyZHa,Omana Penne,A.R. Rahman,1
5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day,1
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,1
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues,The Neighbourhood,1
5DYfTyqUNBmOnQtljQjYk2,Ayyayo,G. V. Prakash,1
5CRVwXGikmqzoRO6q7FeAg,If I Could Fly,One Direction,1
57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,The Verve,1
56sxN1yKg1dgOZXBcAHkJG,"Gone, Gone, Gone",Phillip Phillips,1
56RMn7anq55X9eP65vd2Gp,Hawa Hawa,Nivas K Prasanna,1
54xbcKFYv2PC6ujERHppRj,The Stranger,Billy Joel,1
52mdL9k7mOCbKfL54Bw8Tq,Hey There Delilah,Plain White T's,1
50kpGaPAhYJ3sGmk6vplg0,Love Yourself,Justin Bieber,1
50BuKVg2KHpiRUhkKT9kEC,Aaruyire,A.R. Rahman,1
4zTC9Wy4tMWvXeRaJwTHqH,Vaanam Mella,Ilaiyaraaja,1
4ym7kTn1i1OwSR33pmjZUx,Born On A Different Cloud,Oasis,1
4wzt5Rrk3W98pHXAqutuJw,Talk,Coldplay,1
4tHdVbionAnDm4LN17MDIl,Kutti Story,Anirudh Ravichander,1
4sebUbjqbcgDSwG6PbSGI0,Come a Little Closer,Cage The Elephant,1
4sCcDvX30uu39ozvxcRsqB,"Vilambara Idaiveli - From ""Imaikkaa Nodigal""",Hiphop Tamizha,1
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,1
4i4ArYpqtsA3MJ1k0o2dxq,If I Had A Gun…,Noel Gallagher's High Flying Birds,1
4hf0hL4kWyjWztZzVsM39V,God Put a Smile upon Your Face,Coldplay,1
4giCxIFPZNQIP4bIZM4sqH,Army of One,Coldplay,1
4fOd87EwMLT1YlIKas0Zz3,Oxygen,Hiphop Tamizha,1
4f7u64vCU8VcQXNGTmbaCP,Girl Friend,Karthik,1
4euAGZTszWPrriggYK0HG9,Lay All Your Love On Me,ABBA,1
4emicu3yCflgo7z6cAuw5j,Kill My Mind,Louis Tomlinson,1
4c6vZqYHFur11FbWATIJ9P,There She Goes,The La's,1
4J75gtiHYrdNid6ApUrmEy,Better Man,Oasis,1
